cycle,object,x,y,z,v,snr,noise
1,1,0.025569714605808258,0.4175877571105957,-0.012784857302904129,0.0,145,703
1,2,-0.03835457190871239,0.3291575312614441,-0.2556971609592438,0.0,145,703
1,3,-0.06136731803417206,0.36687538027763367,-0.3375202417373657,0.0,234,699
1,4,-0.0536964014172554,0.43063294887542725,-0.39377361536026,0.0,261,702
1,5,-0.04091154411435127,0.4748431146144867,-0.4704827666282654,0.0,233,702
1,6,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.0,135,699
1,7,0.025569714605808258,0.4175877571105957,-0.012784857302904129,0.12233256548643112,145,664
1,8,-0.03835457190871239,0.3188151717185974,-0.2684819996356964,0.12233256548643112,145,664
1,9,-0.046025488525629044,0.3544762134552002,-0.35286208987236023,0.12233256548643112,234,660
1,10,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.12233256548643112,262,663
1,11,-0.04091154411435127,0.4536621868610382,-0.49093854427337646,0.12233256548643112,233,663
1,12,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.12233256548643112,136,659
1,13,5.420779705047607,4.468864440917969,-5.420779705047607,-0.4893302619457245,142,434
1,14,4.3366241455078125,5.247603893280029,5.691818714141846,-0.4893302619457245,142,434
1,15,-0.051139429211616516,0.33700913190841675,-0.24291229248046875,-0.12233256548643112,146,663
1,16,0.025569714605808258,0.4177834093570709,0.0,-0.12233256548643112,146,663
1,17,-0.06136731803417206,0.38041889667510986,-0.3221784234046936,-0.12233256548643112,234,660
1,18,-0.071595199406147,0.4438219666481018,-0.3758748173713684,-0.12233256548643112,261,663
1,19,-0.06136731803417206,0.49215197563171387,-0.4500269889831543,-0.12233256548643112,232,664
1,20,-0.023012744262814522,0.5574838519096375,-0.5062803626060486,-0.12233256548643112,135,660
2,1,0.025569714605808258,0.4175877571105957,-0.012784857302904129,0.0,146,702
2,2,-0.051139429211616516,0.327414870262146,-0.2556971609592438,0.0,146,702
2,3,-0.06136731803417206,0.36687538027763367,-0.3375202417373657,0.0,235,698
2,4,-0.071595199406147,0.42802122235298157,-0.39377361536026,0.0,262,701
2,5,-0.06136731803417206,0.49215197563171387,-0.4500269889831543,0.0,233,703
2,6,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.0,134,700
2,7,0.03835457190871239,0.41601911187171936,-0.025569714605808258,0.12233256548643112,147,662
2,8,-0.03835457190871239,0.3188151717185974,-0.2684819996356964,0.12233256548643112,147,662
2,9,-0.046025488525629044,0.3544762134552002,-0.35286208987236023,0.12233256548643112,236,658
2,10,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.12233256548643112,264,661
2,11,-0.04091154411435127,0.4536621868610382,-0.49093854427337646,0.12233256548643112,234,662
2,12,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.12233256548643112,135,659
2,13,5.420779705047607,4.778678894042969,-5.149740695953369,-0.4893302619457245,140,441
2,14,4.607662677764893,4.685534477233887,5.962857723236084,-0.4893302619457245,140,441
2,15,-0.051139429211616516,0.33700913190841675,-0.24291229248046875,-0.12233256548643112,146,662
2,16,0.025569714605808258,0.4177834093570709,0.0,-0.12233256548643112,146,662
2,17,-0.06136731803417206,0.38041889667510986,-0.3221784234046936,-0.12233256548643112,235,659
2,18,-0.071595199406147,0.4438219666481018,-0.3758748173713684,-0.12233256548643112,262,663
2,19,-0.06136731803417206,0.49215197563171387,-0.4500269889831543,-0.12233256548643112,232,664
2,20,-0.023012744262814522,0.5574838519096375,-0.5062803626060486,-0.12233256548643112,133,661
3,1,0.025569714605808258,0.4175877571105957,-0.012784857302904129,0.0,145,702
3,2,-0.051139429211616516,0.327414870262146,-0.2556971609592438,0.0,145,702
3,3,-0.06136731803417206,0.36687538027763367,-0.3375202417373657,0.0,235,698
3,4,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.0,261,702
3,5,-0.06136731803417206,0.49215197563171387,-0.4500269889831543,0.0,232,703
3,6,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.0,132,700
3,7,0.03835457190871239,0.41601911187171936,-0.025569714605808258,0.12233256548643112,146,663
3,8,-0.03835457190871239,0.3188151717185974,-0.2684819996356964,0.12233256548643112,146,663
3,9,-0.046025488525629044,0.3544762134552002,-0.35286208987236023,0.12233256548643112,235,659
3,10,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.12233256548643112,262,663
3,11,-0.04091154411435127,0.4536621868610382,-0.49093854427337646,0.12233256548643112,232,663
3,12,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.12233256548643112,132,661
3,13,5.638122081756592,4.079256534576416,-5.369639873504639,-0.36699768900871277,127,438
3,14,4.027230262756348,5.408769130706787,5.638122081756592,-0.36699768900871277,127,438
3,15,5.691818714141846,4.118106365203857,-5.420779705047607,-0.36699768900871277,135,442
3,16,4.878701686859131,4.747833728790283,5.691818714141846,-0.36699768900871277,135,442
3,17,-0.051139429211616516,0.33700913190841675,-0.24291229248046875,-0.12233256548643112,145,664
3,18,0.025569714605808258,0.4177834093570709,0.0,-0.12233256548643112,145,664
3,19,-0.06136731803417206,0.38041889667510986,-0.3221784234046936,-0.12233256548643112,234,660
3,20,-0.071595199406147,0.4438219666481018,-0.3758748173713684,-0.12233256548643112,261,664
3,21,-0.06136731803417206,0.49215197563171387,-0.4500269889831543,-0.12233256548643112,232,664
3,22,-0.023012744262814522,0.5574838519096375,-0.5062803626060486,-0.12233256548643112,132,661
4,1,0.025569714605808258,0.4175877571105957,-0.012784857302904129,0.0,144,704
4,2,-0.051139429211616516,0.327414870262146,-0.2556971609592438,0.0,144,704
4,3,-0.06136731803417206,0.36687538027763367,-0.3375202417373657,0.0,234,699
4,4,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.0,261,702
4,5,-0.04091154411435127,0.4748431146144867,-0.4704827666282654,0.0,232,703
4,6,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.0,133,700
4,7,0.03835457190871239,0.41601911187171936,-0.025569714605808258,0.12233256548643112,145,664
4,8,-0.03835457190871239,0.3188151717185974,-0.2684819996356964,0.12233256548643112,145,664
4,9,-0.046025488525629044,0.3544762134552002,-0.35286208987236023,0.12233256548643112,234,660
4,10,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.12233256548643112,261,663
4,11,-0.04091154411435127,0.4536621868610382,-0.49093854427337646,0.12233256548643112,232,664
4,12,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.12233256548643112,132,661
4,13,0.8591424226760864,3.2358057498931885,1.0739279985427856,0.24466513097286224,125,466
4,14,5.962857723236084,4.082273483276367,-5.149740695953369,-0.6116628050804138,141,437
4,15,4.878701686859131,4.402619361877441,5.962857723236084,-0.6116628050804138,141,437
4,16,0.40911543369293213,2.386726140975952,1.145523190498352,-0.24466513097286224,142,442
4,17,0.5062803626060486,2.4453494548797607,1.1813209056854248,-0.24466513097286224,155,438
4,18,-0.051139429211616516,0.33700913190841675,-0.24291229248046875,-0.12233256548643112,145,664
4,19,0.025569714605808258,0.4177834093570709,0.0,-0.12233256548643112,145,664
4,20,-0.06136731803417206,0.38041889667510986,-0.3221784234046936,-0.12233256548643112,233,660
4,21,-0.071595199406147,0.4438219666481018,-0.3758748173713684,-0.12233256548643112,261,663
4,22,-0.06136731803417206,0.49215197563171387,-0.4500269889831543,-0.12233256548643112,231,665
4,23,-0.023012744262814522,0.5574838519096375,-0.5062803626060486,-0.12233256548643112,133,662
5,1,0.025569714605808258,0.4175877571105957,-0.012784857302904129,0.0,145,703
5,2,-0.051139429211616516,0.327414870262146,-0.2556971609592438,0.0,145,703
5,3,-0.06136731803417206,0.36687538027763367,-0.3375202417373657,0.0,234,699
5,4,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.0,262,702
5,5,-0.04091154411435127,0.4748431146144867,-0.4704827666282654,0.0,233,702
5,6,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.0,134,699
5,7,0.03835457190871239,0.41601911187171936,-0.025569714605808258,0.12233256548643112,144,665
5,8,-0.03835457190871239,0.3188151717185974,-0.2684819996356964,0.12233256548643112,144,665
5,9,-0.046025488525629044,0.3544762134552002,-0.35286208987236023,0.12233256548643112,233,660
5,10,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.12233256548643112,261,664
5,11,-0.04091154411435127,0.4536621868610382,-0.49093854427337646,0.12233256548643112,232,664
5,12,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.12233256548643112,132,661
5,13,5.691818714141846,4.452395439147949,-5.149740695953369,-0.6116628050804138,138,437
5,14,5.149740695953369,4.082273483276367,5.962857723236084,-0.6116628050804138,138,437
5,15,-0.051139429211616516,0.33700913190841675,-0.24291229248046875,-0.12233256548643112,145,664
5,16,0.025569714605808258,0.4177834093570709,0.0,-0.12233256548643112,145,664
5,17,-0.06136731803417206,0.38041889667510986,-0.3221784234046936,-0.12233256548643112,234,660
5,18,-0.071595199406147,0.4438219666481018,-0.3758748173713684,-0.12233256548643112,262,663
5,19,-0.06136731803417206,0.49215197563171387,-0.4500269889831543,-0.12233256548643112,233,663
5,20,-0.023012744262814522,0.5574838519096375,-0.5062803626060486,-0.12233256548643112,134,660
6,1,0.025569714605808258,0.4175877571105957,-0.012784857302904129,0.0,146,702
6,2,-0.03835457190871239,0.3291575312614441,-0.2556971609592438,0.0,146,702
6,3,-0.06136731803417206,0.36687538027763367,-0.3375202417373657,0.0,235,698
6,4,-0.0536964014172554,0.4135555922985077,-0.4116723835468292,0.0,263,701
6,5,-0.04091154411435127,0.4748431146144867,-0.4704827666282654,0.0,235,700
6,6,-0.023012744262814522,0.5356835126876831,-0.5292931199073792,0.0,136,697
